Domain,pgid,ExpID,Submitted,SubmissionTime,Running,Error,ErrorTime,Finished,FinishedTime,Restart,InverseIterations,InverseIterationsDone,SpinupYears,SpinupYearsDone,InvertFor,GradientCalc,gsC,gsA,gaC,gaA,Measurements,Velocity,startGeometry,startMesh,SlidingLaw,m,muk,priorC,startC,n,priorAGlen,startAglen,Comments
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,359075.4,262850.1,55.2,31.5,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,6.99,0.5,1.26657425552463E-09,1031,2.9,7.8706823586439E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,258869.5,103712,91.6,83.6,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,6.85,0.5,2.12284876306427E-09,1678,2.55,3.64832804059986E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,370671.8,160100.6,34.8,58.8,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,6.79,0.5,2.6487602757408E-09,1950,3.47,6.47516878007926E-10,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,87220.7,399620.6,75.4,2.3,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,6.67,0.5,4.12372649879031E-09,1678,2.52,4.16089331590199E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,119358.1,459034.4,60.7,82.3,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,6.6,0.5,5.33868200167617E-09,1031,3,0.000000005078125,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,347388.1,94060.4,17.4,44.8,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,6.56,0.5,6.18751767531335E-09,1031,3.18,2.30752911468164E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,416609.5,422365.1,52.8,24.3,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,6.45,0.5,9.28416930500748E-09,1933,2.74,1.58674370345018E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,214879.6,438582.8,21.7,13.7,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,6.4,0.5,1.11646741193195E-08,1933,2.69,1.97542835358002E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,408734,294857.1,70.3,30,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,6.3,0.5,1.61455204968156E-08,1706,2.96,6.05099768075402E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,125219.4,393881.3,45.9,9.4,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,6.23,0.5,2.09024045870473E-08,1706,3.21,2.02327301721953E-09,0,
